epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5571,2.89159,4.70491,2.0947,0,0,0,0,2.29071,4.52317,1.98005,4.545e-05,4.545e-05,4.545e-05
2,27.1401,2.64933,4.63537,1.99962,0,0,0,0,2.19401,4.36037,1.94316,9.90001e-05,9.90001e-05,9.90001e-05
3,39.5476,1.98674,4.07446,1.53372,0.00182,0.00705,0.00125,0.00029,2.13219,4.25059,1.86285,0.00015147,0.00015147,0.00015147
4,52.1345,1.82889,3.46719,1.37904,0.00729,0.07034,0.00597,0.00142,1.82447,4.10265,1.66125,0.000202861,0.000202861,0.000202861
5,63.9468,1.71928,2.80348,1.32779,0.01778,0.14845,0.0303,0.01296,1.67702,3.78458,1.46159,0.000253171,0.000253171,0.000253171
6,75.5419,1.67481,2.61661,1.31283,0.01714,0.24903,0.03892,0.01854,1.56923,3.44806,1.41486,0.000302402,0.000302402,0.000302402
7,87.4549,1.58049,2.099,1.30854,0.02239,0.26446,0.058,0.03041,1.53257,3.29898,1.33109,0.000350552,0.000350552,0.000350552
8,99.3506,1.63221,2.12563,1.29101,0.01798,0.33795,0.10248,0.05128,1.47685,2.89924,1.28646,0.000397623,0.000397623,0.000397623
9,110.83,1.60874,2.0706,1.28928,0.91812,0.10471,0.08815,0.05021,1.49618,2.8084,1.32155,0.000443614,0.000443614,0.000443614
10,122.558,1.46809,1.80139,1.24691,0.93556,0.08309,0.0991,0.05514,1.47223,2.28585,1.30675,0.000488525,0.000488525,0.000488525
11,134.165,1.53754,1.76445,1.25753,0.92927,0.1001,0.09797,0.05944,1.47138,2.03205,1.3015,0.000532356,0.000532356,0.000532356
12,146.342,1.45679,1.7301,1.23916,0.93182,0.09579,0.10247,0.06117,1.47235,2.02767,1.26693,0.000575107,0.000575107,0.000575107
13,157.656,1.46928,1.66972,1.25129,0.93885,0.0803,0.09827,0.06159,1.47746,2.44629,1.2596,0.000616778,0.000616778,0.000616778
14,170.16,1.49902,1.79252,1.24043,0.79652,0.06476,0.08689,0.05223,1.57639,3.04117,1.32072,0.00065737,0.00065737,0.00065737
15,181.74,1.45095,1.61755,1.20656,0.6669,0.1103,0.10086,0.06271,1.42096,2.90064,1.21801,0.000696881,0.000696881,0.000696881
16,194.181,1.40037,1.72623,1.20308,0.95209,0.07665,0.11047,0.06433,1.44692,2.41082,1.23982,0.000735313,0.000735313,0.000735313
17,206.046,1.47895,1.66965,1.1962,0.86529,0.07027,0.11218,0.06295,1.48573,2.40619,1.26306,0.000765014,0.000765014,0.000765014
18,217.464,1.37035,1.56175,1.17733,0.85064,0.09552,0.11379,0.06928,1.39402,1.83656,1.21373,0.000756015,0.000756015,0.000756015
19,229.365,1.38687,1.51796,1.17588,0.83331,0.10257,0.11579,0.0733,1.34902,1.73992,1.2027,0.000747016,0.000747016,0.000747016
20,240.751,1.41639,1.45943,1.18609,0.85246,0.11342,0.10659,0.06456,1.34489,1.8464,1.19683,0.000738017,0.000738017,0.000738017
21,252.26,1.34993,1.45869,1.16161,0.85485,0.11233,0.10215,0.06041,1.34901,1.86199,1.19763,0.000729018,0.000729018,0.000729018
22,263.833,1.34883,1.37772,1.15274,0.85097,0.12347,0.12044,0.07366,1.3038,1.71981,1.16767,0.000720019,0.000720019,0.000720019
23,275.451,1.38168,1.49231,1.18372,0.84874,0.12693,0.12142,0.07399,1.32842,1.68221,1.17355,0.00071102,0.00071102,0.00071102
24,287.037,1.33622,1.37948,1.17205,0.86016,0.14014,0.14623,0.0904,1.26999,1.448,1.16549,0.000702021,0.000702021,0.000702021
25,298.682,1.29394,1.3195,1.14324,0.88216,0.13781,0.14678,0.09255,1.2497,1.40949,1.16105,0.000693022,0.000693022,0.000693022
26,310.373,1.27954,1.37979,1.12249,0.89766,0.11419,0.13114,0.07776,1.27879,1.5053,1.19807,0.000684022,0.000684022,0.000684022
27,321.748,1.277,1.32046,1.11772,0.95163,0.11508,0.13332,0.08254,1.24592,1.46969,1.1973,0.000675023,0.000675023,0.000675023
28,332.652,1.30017,1.36297,1.12803,0.93029,0.11577,0.10691,0.06339,1.23278,1.57813,1.19001,0.000666024,0.000666024,0.000666024
29,344.152,1.31033,1.28354,1.12131,0.86225,0.12223,0.10909,0.06788,1.22983,1.54146,1.19917,0.000657025,0.000657025,0.000657025
30,355.549,1.24742,1.26236,1.11857,0.88191,0.12307,0.13682,0.08176,1.21395,1.47504,1.19279,0.000648026,0.000648026,0.000648026
31,366.954,1.26912,1.34728,1.12468,0.85642,0.13068,0.17177,0.09682,1.22406,1.44855,1.19087,0.000639027,0.000639027,0.000639027
32,379.351,1.25157,1.21917,1.12314,0.87655,0.13913,0.20611,0.11934,1.15324,1.28235,1.12962,0.000630028,0.000630028,0.000630028
33,390.351,1.22973,1.31528,1.12439,0.72983,0.1385,0.22476,0.12062,1.14675,1.48506,1.1241,0.000621029,0.000621029,0.000621029
34,400.852,1.25811,1.2202,1.11116,0.70817,0.15617,0.22977,0.13776,1.19395,1.77049,1.14096,0.00061203,0.00061203,0.00061203
35,410.952,1.21495,1.22753,1.10223,0.85985,0.15268,0.23656,0.1482,1.17385,1.48212,1.13328,0.000603031,0.000603031,0.000603031
36,422.139,1.18364,1.30731,1.09892,0.89253,0.14821,0.24506,0.15309,1.19314,1.20264,1.14796,0.000594031,0.000594031,0.000594031
37,433.533,1.2907,1.25585,1.13528,0.89423,0.151,0.26447,0.16079,1.1984,1.15522,1.14605,0.000585032,0.000585032,0.000585032
38,445.048,1.16882,1.16946,1.10089,0.7344,0.15249,0.31933,0.20975,1.10694,1.15926,1.10476,0.000576033,0.000576033,0.000576033
39,456.449,1.1891,1.20061,1.1175,0.52297,0.16951,0.32341,0.21717,1.11708,1.15,1.1083,0.000567034,0.000567034,0.000567034
40,467.748,1.19697,1.20964,1.10124,0.70799,0.23056,0.33921,0.21401,1.17114,1.16829,1.13469,0.000558035,0.000558035,0.000558035
41,477.751,1.21025,1.12775,1.0833,0.7332,0.22448,0.36263,0.23284,1.14512,1.16679,1.10817,0.000549036,0.000549036,0.000549036
42,487.342,1.1976,1.13478,1.08191,0.62413,0.23062,0.36658,0.23728,1.12896,1.22046,1.10131,0.000540037,0.000540037,0.000540037
43,496.648,1.2406,1.14089,1.10223,0.57136,0.22898,0.3589,0.22644,1.12041,1.27156,1.10068,0.000531038,0.000531038,0.000531038
44,505.135,1.19344,1.15539,1.0856,0.71962,0.24033,0.35499,0.22722,1.11596,1.24748,1.09846,0.000522039,0.000522039,0.000522039
45,513.048,1.17338,1.13182,1.09615,0.74093,0.29875,0.35418,0.2264,1.10973,1.23333,1.09263,0.00051304,0.00051304,0.00051304
46,521.551,1.13267,1.23762,1.08068,0.59847,0.31272,0.36292,0.24815,1.09028,1.14203,1.07824,0.00050404,0.00050404,0.00050404
47,530.937,1.16407,1.11506,1.05836,0.64391,0.31247,0.3872,0.25399,1.07539,1.09834,1.07632,0.000495041,0.000495041,0.000495041
48,540.632,1.19635,1.15474,1.09003,0.85302,0.29628,0.44128,0.28997,1.03372,0.99424,1.06266,0.000486042,0.000486042,0.000486042
49,551.138,1.17052,1.02815,1.05356,0.85353,0.2763,0.40771,0.2654,1.03185,0.99108,1.0613,0.000477043,0.000477043,0.000477043
50,562.75,1.14382,1.037,1.06322,0.80465,0.27142,0.40652,0.24718,1.05971,1.05876,1.0797,0.000468044,0.000468044,0.000468044
51,573.649,1.15942,1.07441,1.07124,0.78449,0.27328,0.41041,0.24707,1.07456,1.04215,1.07933,0.000459045,0.000459045,0.000459045
52,582.952,1.12399,1.03269,1.04361,0.82601,0.28886,0.4138,0.25717,1.04906,1.00387,1.08106,0.000450046,0.000450046,0.000450046
53,592.051,1.15219,1.10662,1.06447,0.81977,0.29165,0.42685,0.28029,1.03636,1.00649,1.0799,0.000441047,0.000441047,0.000441047
54,599.854,1.12918,1.02394,1.05948,0.61479,0.30599,0.4244,0.2738,1.01951,1.08154,1.06965,0.000432048,0.000432048,0.000432048
55,607.835,1.09809,1.01864,1.05825,0.62993,0.31326,0.42912,0.2703,1.02891,1.06597,1.06782,0.000423049,0.000423049,0.000423049
56,616.046,1.13078,1.03732,1.07129,0.58622,0.32936,0.43495,0.2774,1.03927,0.99843,1.07777,0.000414049,0.000414049,0.000414049
57,624.451,1.13698,1.04145,1.06266,0.60051,0.34559,0.43727,0.28326,1.01241,0.99653,1.06468,0.00040505,0.00040505,0.00040505
58,633.647,1.10457,0.96582,1.04805,0.66556,0.38703,0.44731,0.31897,0.99874,0.92603,1.05768,0.000396051,0.000396051,0.000396051
59,642.954,1.09762,1.04107,1.03377,0.66159,0.38277,0.44862,0.32398,1.02519,0.92841,1.06702,0.000387052,0.000387052,0.000387052
60,652.551,1.10783,0.98577,1.05909,0.66539,0.37642,0.42756,0.29749,0.99528,0.9334,1.04472,0.000378053,0.000378053,0.000378053
61,661.328,1.10326,1.03644,1.0435,0.66516,0.38528,0.42374,0.29081,0.98083,0.9372,1.04049,0.000369054,0.000369054,0.000369054
62,669.937,1.11251,1.02656,1.06549,0.67235,0.36359,0.42482,0.28837,0.98949,0.91294,1.04128,0.000360055,0.000360055,0.000360055
63,678.261,1.08851,0.9859,1.0454,0.65475,0.36784,0.43025,0.2964,0.97347,0.88983,1.03548,0.000351056,0.000351056,0.000351056
64,685.956,1.13959,1.00515,1.04813,0.63279,0.39576,0.44286,0.31554,0.98248,0.86341,1.03042,0.000342057,0.000342057,0.000342057
65,693.934,1.0545,0.97501,1.03763,0.62712,0.40934,0.44208,0.30937,0.98222,0.85311,1.03116,0.000333058,0.000333058,0.000333058
66,702.053,1.09355,0.95624,1.04656,0.67808,0.37488,0.44523,0.31499,0.95781,0.86753,1.01895,0.000324058,0.000324058,0.000324058
67,709.551,1.13062,0.97927,1.02833,0.67187,0.38046,0.44067,0.31273,0.96754,0.87138,1.01875,0.000315059,0.000315059,0.000315059
68,717.152,1.02813,0.93809,1.02083,0.68196,0.3789,0.44853,0.31404,0.94664,0.85068,1.01554,0.00030606,0.00030606,0.00030606
69,725.053,1.02595,0.92325,1.02094,0.69764,0.41623,0.47838,0.34424,0.95342,0.85046,1.01763,0.000297061,0.000297061,0.000297061
70,732.857,1.02436,0.9116,1.01258,0.75575,0.42111,0.49991,0.36433,0.94299,0.83572,1.01737,0.000288062,0.000288062,0.000288062
71,740.436,1.02597,0.89291,1.02155,0.75221,0.4244,0.50767,0.36846,0.9395,0.82741,1.01671,0.000279063,0.000279063,0.000279063
72,747.759,1.00085,0.90638,1.03042,0.75311,0.42678,0.54111,0.39236,0.93069,0.8095,1.00651,0.000270064,0.000270064,0.000270064
73,755.157,1.04263,0.90134,1.02446,0.73385,0.45731,0.54622,0.39885,0.9312,0.80946,1.00027,0.000261065,0.000261065,0.000261065
74,762.557,1.02622,0.90497,1.01443,0.73588,0.44999,0.55345,0.4088,0.92302,0.81407,0.99418,0.000252066,0.000252066,0.000252066
75,770.255,1.06975,0.94255,1.01163,0.73373,0.45642,0.54114,0.39887,0.9195,0.80819,0.99571,0.000243067,0.000243067,0.000243067
76,778.153,1.07193,0.92453,1.01724,0.73779,0.46099,0.53325,0.39545,0.91299,0.80161,0.9929,0.000234068,0.000234068,0.000234068
77,786.233,1.01855,0.9009,1.00009,0.74792,0.44827,0.5274,0.3879,0.90011,0.79147,0.99298,0.000225068,0.000225068,0.000225068
78,794.24,1.03349,0.89129,1.01454,0.75306,0.46281,0.53038,0.38757,0.9182,0.7734,0.99904,0.000216069,0.000216069,0.000216069
79,801.759,1.04437,0.97475,1.03142,0.72693,0.46278,0.52853,0.37304,0.92618,0.77031,1.00081,0.00020707,0.00020707,0.00020707
80,809.355,1.05546,0.96874,1.03627,0.73017,0.48853,0.5363,0.37717,0.90827,0.7685,0.99646,0.000198071,0.000198071,0.000198071
81,817.26,1.04827,0.90949,1.02393,0.72603,0.47086,0.52155,0.35241,0.90256,0.76492,0.9943,0.000189072,0.000189072,0.000189072
82,825.061,1.00762,0.89297,1.00997,0.70983,0.49993,0.52748,0.36439,0.8869,0.76341,0.98918,0.000180073,0.000180073,0.000180073
83,832.844,1.02328,0.87919,1.01064,0.72537,0.49045,0.53307,0.37592,0.87604,0.76365,0.98756,0.000171074,0.000171074,0.000171074
84,840.851,1.03803,0.96021,1.00398,0.78858,0.47021,0.54998,0.39331,0.87979,0.75844,0.98797,0.000162075,0.000162075,0.000162075
85,848.557,1.00989,0.86192,1.00624,0.75467,0.48182,0.5476,0.39295,0.89167,0.76077,0.98905,0.000153076,0.000153076,0.000153076
86,856.252,1.0154,0.88176,1.01473,0.72939,0.49881,0.53753,0.39311,0.88306,0.75512,0.98563,0.000144077,0.000144077,0.000144077
87,864.053,0.99798,0.90914,0.99315,0.73564,0.50216,0.53893,0.3987,0.87477,0.74873,0.98366,0.000135077,0.000135077,0.000135077
88,872.249,1.00247,0.88436,1.00399,0.76145,0.48204,0.54588,0.41765,0.86737,0.73576,0.97823,0.000126078,0.000126078,0.000126078
89,880.158,1.02721,0.88423,1.00244,0.7584,0.5005,0.55523,0.42258,0.86834,0.73054,0.97712,0.000117079,0.000117079,0.000117079
90,888.554,1.01868,0.83686,0.99349,0.76622,0.50999,0.56943,0.42562,0.85698,0.72343,0.97544,0.00010808,0.00010808,0.00010808
91,901.36,0.94608,0.88303,1.01412,0.75813,0.51247,0.56739,0.42759,0.85206,0.72111,0.97654,9.9081e-05,9.9081e-05,9.9081e-05
92,906.755,0.94177,0.88375,1.00826,0.75902,0.49773,0.56943,0.42458,0.8728,0.72939,0.9886,9.00819e-05,9.00819e-05,9.00819e-05
